timestamp,aqi_us,main_pollutant,temperature_c,humidity_pct
2026-03-12 15:00:00+00:00,84,p2,29,79
2026-04-03 14:00:00+00:00,91,p2,30,75
2026-04-16 18:00:00+00:00,95,p2,28,89
2026-05-17 10:00:00+00:00,79,p2,30,79
2026-05-18 01:00:00+00:00,132,p2,27,89
2026-05-18 05:00:00+00:00,102,p2,31,75
2026-06-08 10:00:00+00:00,138,p2,32,59
2026-06-08 14:00:00+00:00,118,p2,30,70
2026-06-08 17:00:00+00:00,161,p2,29,75
2026-06-08 20:00:00+00:00,161,p2,28,79
2026-06-08 22:00:00+00:00,158,p2,27,84
2026-06-09 00:00:00+00:00,167,p2,27,79
2026-06-09 05:00:00+00:00,168,p2,32,56
2026-06-09 09:00:00+00:00,158,p2,32,59
2026-06-09 12:00:00+00:00,121,p2,31,66
2026-06-09 15:00:00+00:00,162,p2,30,75
2026-06-09 16:00:00+00:00,162,p2,30,75
2026-06-09 17:00:00+00:00,160,p2,30,75
2026-06-09 18:00:00+00:00,161,p2,29,79
2026-06-09 19:00:00+00:00,166,p2,29,75
2026-06-09 20:00:00+00:00,177,p2,28,79
2026-06-09 21:00:00+00:00,184,p2,28,79
2026-06-09 22:00:00+00:00,179,p2,28,79
2026-06-09 23:00:00+00:00,171,p2,27,84
2026-06-10 00:00:00+00:00,166,p2,27,79
2026-06-10 01:00:00+00:00,170,p2,27,79
2026-06-10 02:00:00+00:00,164,p2,29,70
2026-06-10 03:00:00+00:00,160,p2,30,62
